Filename,m1,m2
compacted_25.npz,-0.222356604,0.186354168
compacted_26.npz,-0.195953876,0.154231281
compacted_27.npz,-0.20809576,0.167633835
compacted_28.npz,-0.213398638,0.210358706
compacted_29.npz,-0.069977182,0.329091555
compacted_30.npz,-0.19765185,0.178049224
compacted_31.npz,-0.200072322,0.151506565
compacted_32.npz,-0.22552622,0.203112614
compacted_33.npz,-0.143999728,0.210556149
compacted_34.npz,-0.213907872,0.235918984
compacted_35.npz,-0.151416866,0.241706001
compacted_36.npz,-0.149673325,0.195133735
compacted_37.npz,-0.192443746,0.144431577
compacted_38.npz,-0.25916457,0.150123437
compacted_39.npz,-0.221679743,0.208273179
compacted_40.npz,-0.257289029,0.219232661
compacted_41.npz,-0.186350288,0.268883453
compacted_42.npz,-0.172629088,0.155446124
compacted_43.npz,-0.257234562,0.016200528
compacted_44.npz,-0.186518939,0.243613272
compacted_45.npz,-0.239239673,0.162160666
compacted_46.npz,-0.200442427,0.198282134
compacted_47.npz,-0.231393875,0.194133291
compacted_48.npz,-0.03223071,0.108503561
compacted_49.npz,-0.099113512,0.057876424
