filename,type,D,d_max,V_in,V_ex,V_exc,epsilon,V_cp,H_cp
fluized_1.npz,Simple crater,99.19228507,-15.906,65334.24214,27954.52883,10673.09184,0.383855667,-1,-1
fluized_2.npz,Simple crater,91.96773625,-14.618,57488.52972,26845.21327,10251.66157,0.30288094,-1,-1
fluized_3.npz,Simple crater,103.4788791,-16.334,89406.39431,37676.84608,14737.05312,0.160149682,-1,-1
fluized_4.npz,Simple crater,101.2361564,-15.676,79837.24588,32895.48416,14762.34302,0.312013332,-1,-1
fluized_5.npz,Simple crater,106.9944494,-19.4,109839.267,46084.93677,13614.08731,0.216560269,-1,-1
fluized_6.npz,Simple crater,109.6536347,-20.45,125119.1576,47935.90613,18306.00781,0.347817339,-1,-1
fluized_7.npz,Simple crater,107.3741533,-17.116,102111.6474,41564.98758,15289.91233,0.135648785,-1,-1
fluized_8.npz,Simple crater,115.8841208,-22.586,159052.2031,60835.3417,22098.31473,0.29596882,-1,-1
fluized_9.npz,Simple crater,125.0058697,-20.992,165030.4999,70554.06182,35001.99147,0.318651589,-1,-1
fluized_10.npz,Complex crater,137.0371018,-13.236,159072.5921,29127.57178,64092.35097,0.299229334,36775.99157,16.194
fluized_11.npz,Complex crater,142.193677,-10.518,93913.49433,29256.84873,49676.68378,0.532522678,12122.06174,15.38
fluized_12.npz,Simple crater,135.2894094,-19.574,190327.4843,54739.1563,37457.43656,0.367340745,-1,-1
fluized_13.npz,Complex crater,136.63192,-9.568,108346.3932,15673.36062,91434.09452,0.433899708,26283.33767,17.716
fluized_14.npz,Complex crater,147.9649488,-6.582,112165.0582,8394.36188,107407.651,0.248612888,34212.85233,16.88
fluized_15.npz,Complex crater,152.1647299,-7.364,115643.7546,4500.282749,160285.4549,0.530852062,116613.4416,26.052
fluized_16.npz,Complex crater,154.734118,-6.996,126156.4519,12107.83028,137746.4205,0.249395811,59345.13826,21.292
fluized_17.npz,Complex crater,153.2896281,-6.078,127526.1121,6424.969813,135758.3359,0.104829715,32721.12522,13.79
fluized_18.npz,Complex crater,187.4754935,-7.348,135059.7534,9062.266571,150498.2007,0.513401792,76984.76506,17.608
fluized_19.npz,Complex crater,169.59932,-5.282,135878.8163,9134.334933,139030.9589,0.261116464,88409.90941,17.338
fluized_20.npz,Complex crater,162.274914,-2.7,101769.2285,2597.021415,220342.1976,0.106947244,33310.17569,14.57
fluized_21.npz,Complex crater,176.3322021,-3.106,116455.0263,3085.320691,233330.5091,0.480021605,28182.18505,17.978
fluized_22.npz,Complex crater,181.1045976,-7.816,182087.0453,40797.00715,196199.108,0.203727743,36773.3055,15.194
fluized_23.npz,Complex crater,182.3981875,-5.304,146097.4282,18600.34455,222873.4338,0.241735844,31535.24881,13.994
fluized_24.npz,Complex crater,189.6456994,-6.728,169796.091,39742.04132,217796.1801,0.301350266,10768.01536,6.346
fluized_25.npz,Complex crater,207.5003138,-9.574,251075.5995,72783.93986,231030.9974,0.430515747,35989.60134,18.608
fluized_26.npz,Complex crater,200.3984547,-12.832,342406.4295,73894.4021,376130.8255,0.27542586,21682.38227,16.476
fluized_27.npz,Complex crater,209.6520981,-14.21,396285.6821,102621.1525,328940.5002,0.162929952,30654.23352,23.634
fluized_28.npz,Complex crater,209.1065638,-8.842,249005.6918,79679.74164,271008.172,0.026455102,174935.1086,19.28
fluized_29.npz,Complex crater,210.611689,-12.92,375444.6209,99569.08569,308495.8464,0.230972811,26868.35118,26.188
fluized_30.npz,Complex crater,248.1544598,-11.15,262730.4107,80621.4684,396537.2459,0.558574932,856431.7863,23.932
fluized_31.npz,Complex crater,225.8789951,-11.616,344010.1547,131756.9396,313545.8625,0.201053582,525961.8755,23.246
fluized_32.npz,Complex crater,209.6021321,-12.956,347962.1964,100341.8885,247088.5132,0.377340289,57687.84869,24.32
fluized_33.npz,Complex crater,221.6827237,-14.434,410365.5905,168983.2485,238399.6732,0.155352972,16904.19336,9.222
fluized_34.npz,Complex crater,230.3226815,-12.608,400955.9726,149181.1624,302818.9236,0.264423541,300075.5192,22.662
fluized_35.npz,Complex crater,228.4727186,-14.968,445326.3484,194107.2877,297200.8744,0.114353989,681523.7897,24.656
fluized_36.npz,Complex crater,232.5762441,-14.574,406377.1533,187092.4977,239712.5175,0.374131661,19059.80392,13.606
fluized_37.npz,Complex crater,243.0467219,-17.106,489278.2785,237262.0361,250399.5737,0.410791727,9359.634956,10.432
fluized_38.npz,Complex crater,232.4328798,-18.662,561023.4317,240390.0355,249068.6495,0.121564184,36293.25293,25.486
fluized_39.npz,Simple crater,256.9471801,-17.962,550821.973,267100.5839,319478.5903,0.429069754,-1,-1
fluized_40.npz,Complex crater,238.0264573,-13.72,414550.8647,215270.8657,268555.6957,0.201343078,10091.91108,3.934
fluized_41.npz,Complex crater,248.0045413,-18.224,578946.1012,280768.3298,324872.0307,0.288859228,12000.2304,7.462
fluized_42.npz,Simple crater,245.7046855,-15.596,452988.874,225498.981,266976.3807,0.381060578,-1,-1
fluized_43.npz,Simple crater,249.5308829,-16.71,574644.7604,260920.0308,325182.9708,0.212893312,-1,-1
fluized_44.npz,Simple crater,248.1797747,-19.308,614034.0626,294496.5987,311123.6084,0.252674674,-1,-1
fluized_45.npz,Simple crater,244.758754,-19.054,640371.8443,270692.0482,299390.7912,0.175709534,-1,-1
fluized_46.npz,Complex crater,235.8189213,-20.004,628019.8958,278060.3941,336976.0282,0.144627196,15268.32952,6.362
fluized_47.npz,Complex crater,243.6375472,-19.852,649692.4291,287384.3091,326991.4186,0.230502939,30663.13996,10.62
fluized_48.npz,Simple crater,268.1009807,-21.566,813767.3635,395787.6438,358120.5367,0.237046849,-1,-1
fluized_49.npz,Simple crater,249.1683747,-17.804,524285.5478,272501.5641,305425.4641,0.336118976,-1,-1
fluized_50.npz,Complex crater,281.1522239,-19.756,388362.5763,351178.8989,337301.3883,0.608656845,343062.5375,29.066
fluized_51.npz,Simple crater,280.1612343,-24.88,961184.7988,488468.8603,341912.6167,0.28287374,-1,-1
