Filename,m1,m2
fluized_1.npz,-0.354429209,0.53977004
fluized_2.npz,-0.07066065,0.513333667
fluized_3.npz,-0.474460386,0.367759938
fluized_4.npz,-0.465487979,0.437680473
fluized_5.npz,-0.490550356,0.47925052
fluized_6.npz,-0.463237656,0.550590814
fluized_7.npz,-0.453983874,0.439771148
fluized_8.npz,-0.604488698,0.474569036
fluized_9.npz,-0.531878625,0.362629997
fluized_10.npz,-0.518190945,0.518085105
fluized_11.npz,-0.41480059,0.23213675
fluized_12.npz,-0.486312473,0.224910692
fluized_13.npz,-0.456387402,0.31060098
fluized_14.npz,-0.110332092,0.071083342
fluized_15.npz,-0.210264526,0.196655483
fluized_16.npz,-0.2664067,0.296001429
fluized_17.npz,-0.136803631,0.372778668
fluized_18.npz,-0.171172266,0.02201791
fluized_19.npz,-0.109316247,0.375294967
fluized_20.npz,-0.151358579,0.143037412
fluized_21.npz,0.064950252,0.262842498
fluized_22.npz,-0.231191671,0.240243165
fluized_23.npz,-0.350474309,0.163179915
fluized_24.npz,-0.285194641,0.218628693
fluized_25.npz,-0.318514795,0.258572183
fluized_26.npz,-0.417176428,0.234585546
fluized_27.npz,-0.268908208,0.507110575
fluized_28.npz,-0.268733295,0.275592369
fluized_29.npz,-0.303084324,0.299470804
fluized_30.npz,-0.316790527,0.145713987
fluized_31.npz,-0.259210742,0.155671082
fluized_32.npz,-0.334688007,0.313869991
fluized_33.npz,-0.280943182,0.357620764
fluized_34.npz,-0.319760015,0.275996822
fluized_35.npz,-0.22468444,0.249583962
fluized_36.npz,-0.350358983,0.305790877
fluized_37.npz,-0.342156386,0.304444593
fluized_38.npz,-0.345122298,0.368842737
fluized_39.npz,-0.308430728,0.354123844
fluized_40.npz,-0.294809717,0.275408596
fluized_41.npz,-0.369343242,0.317678417
fluized_42.npz,-0.159308649,0.334239442
fluized_43.npz,-0.249409313,0.344883854
fluized_44.npz,-0.320989127,0.325829861
fluized_45.npz,-0.298257894,0.35732403
fluized_46.npz,-0.344946491,0.332176637
fluized_47.npz,-0.37155977,0.360076521
fluized_48.npz,-0.397013897,0.256159106
fluized_49.npz,-0.308010078,0.265612183
fluized_50.npz,-0.360802882,0.386586732
fluized_51.npz,-0.264893531,0.388603925
