Distance (s),Height (h)
0.0,866.0791137870835
115.63853909846587,881.1760679899506
231.27707819693174,900.692672125105
346.91561729539757,919.3109471491118
462.5541563938635,934.1444244404635
578.1926954923293,946.7703350055515
693.8312345907951,959.1763228974685
809.469773689261,972.085616466365
925.108312787727,985.3223732584352
1040.7468518861929,998.7305234711483
1156.3853909846587,1012.3999571664277
1272.0239300831245,1026.501409644622
1387.6624691815903,1041.1298728766253
1503.3010082800563,1056.2346830344654
1618.939547378522,1071.767528629201
1734.578086476988,1087.6602542116184
1850.216625575454,1103.8199489466529
1965.8551646739197,1120.1333345477528
2081.4937037723857,1136.391399811409
2197.1322428708518,1152.3193617805316
2312.7707819693173,1167.5731308944705
2428.409321067783,1181.7284822043143
2544.047860166249,1194.3578636947211
2659.686399264715,1205.0958292759708
2775.3249383631805,1213.6812182989631
2890.9634774616466,1220.001858019065
3006.6020165601126,1224.0621008397097
3122.2405556585786,1225.9344041531494
3237.879094757044,1225.8011165011328
3353.5176338555098,1223.9079931548706
3469.156172953976,1220.4882971477696
3584.794712052442,1215.791760245744
3700.433251150908,1210.065688278511
3816.0717902493734,1203.5420966418774
3931.7103293478394,1196.4466003727568
4047.3488684463055,1188.9754132281953
4162.9874075447715,1181.3039889233492
4278.6259466432375,1173.5727193099563
4394.2644857417035,1165.898198510716
4509.903024840169,1158.3988618458982
4625.541563938635,1151.1919342101585
4741.1801030371,1144.3746123654694
4856.818642135566,1138.0174772425064
4972.457181234032,1132.1917212590365
5088.095720332498,1126.9829633323225
5203.734259430964,1122.4829909168302
5319.37279852943,1118.7805082582997
5435.011337627896,1115.9259850999058
5550.649876726361,1113.944673281539
5666.288415824827,1112.8609726757843
5781.926954923293,1112.7001314496454
5897.565494021759,1113.484343595992
6013.204033120225,1115.2233640750085
6128.842572218691,1117.8861049424142
6244.481111317157,1121.4208328755358
6360.119650415623,1125.7954078949447
6475.758189514088,1130.9842784161049
6591.3967286125535,1136.9437646306985
6707.0352677110195,1143.6107707360263
6822.6738068094855,1150.8873549043362
6938.312345907952,1158.6414382951234
7053.950885006418,1166.7361495061855
7169.589424104884,1175.0198338807138
7285.22796320335,1183.32156962276
7400.866502301816,1191.4594321270865
7516.505041400281,1199.2606660466222
7632.143580498747,1206.5877500727863
7747.782119597212,1213.3336305468847
7863.420658695679,1219.4166429402499
7979.059197794144,1224.7974226669483
8094.697736892611,1229.4683642141938
8210.336275991076,1233.4549220151434
8325.974815089543,1236.8169667399106
8441.613354188008,1239.6266145625814
8557.251893286475,1241.953010311386
8672.89043238494,1243.8865735125216
8788.528971483407,1245.5482177152962
8904.167510581872,1247.0907210938944
9019.806049680337,1248.66642605602
9135.444588778802,1250.4087932802322
9251.08312787727,1252.4326609537195
9366.721666975734,1254.8418130527493
9482.3602060742,1257.7356912965106
9597.998745172667,1261.1929701913537
9713.637284271132,1265.2513680298775
9829.275823369599,1269.8944036579987
9944.914362468064,1275.0917154320819
10060.55290156653,1280.8099901686871
10176.191440664996,1287.0428945082413
10291.829979763463,1293.7981666788974
10407.468518861928,1301.0591003557927
10523.107057960395,1308.793352546318
